epic,sector_desc
0485522,Equity ETI by Area - Europe
0504245,Bond Money Market & Fixed Interest ETI - Emerging Market
0504245,Bond Money Market & Fixed Interest ETI - Europe
0504245,Bond Money Market & Fixed Interest ETI - North America
0504245,Bond Money Market & Fixed Interest ETI - UK
0504245,Bond Money Market & Fixed Interest ETI - World
0504245,Commodity ETI - Agriculture
0504245,Commodity ETI - Composite
0504245,Commodity ETI - Energy
0504245,Commodity ETI - Gold
0504245,Commodity ETI - Industrial Metals
0504245,Commodity ETI - Livestock
0504245,Commodity ETI - Oil
0504245,Commodity ETI - Precious Metals
0504245,Commodity ETI - Silver
0504245,Commodity ETI - Soft
0504245,Currency ETI - Basket
0504245,Currency ETI - Europe
0504245,Currency ETI - North America
0504245,Currency ETI - Rest of the World
0504245,Currency ETI - UK
0504245,Equity ETI by Area - Africa & Middle East
0504245,Equity ETI by Area - Asia Pacific
0504245,Equity ETI by Area - Developed Mkt
0504245,Equity ETI by Area - Emerging Market
0504245,Equity ETI by Area - Europe
0504245,Equity ETI by Area - FTSE 100
0504245,Equity ETI by Area - FTSE 250
0504245,Equity ETI by Area - Japan
0504245,Equity ETI by Area - Latin & South America
0504245,Equity ETI by Area - North America
0504245,Equity ETI by Area - Other
0504245,Equity ETI by Area - Russia
0504245,Equity ETI by Area - UK
0504245,Equity ETI by Area - World
0504245,Equity ETI by Sector - Banks & Financials
0504245,Equity ETI by Sector - Basic Materials
0504245,Equity ETI by Sector - Consumer goods
0504245,Equity ETI by Sector - Energy
0504245,Equity ETI by Sector - Health
0504245,Equity ETI by Sector - Industrials
0504245,Equity ETI by Sector - Large Mid Small and Micro Cap
0504245,Equity ETI by Sector - Oil & Gas
0504245,Equity ETI by Sector - Property
0504245,Equity ETI by Sector - Technology
0504245,Equity ETI by Sector - Telecoms
0504245,Equity ETI by Sector - Utilities
0504245,Equity ETI by Sector - Volatility Index
0504245,ETI - Other
0504245,Overseas
0847092,Equity ETI by Area - Europe
0847100,Equity ETI by Area - Europe
2012423,Equity ETI by Sector - Industrials
2029100,Equity ETI by Area - Europe
2140863,Equity ETI by Area - North America
2165305,Equity ETI by Area - North America
2215352,Bond Money Market & Fixed Interest ETI - North America
2342164,Equity ETI by Area - North America
2343338,Equity ETI by Area - Africa & Middle East
2353638,Equity ETI by Sector - Large Mid Small and Micro Cap
2353649,Equity ETI by Sector - Large Mid Small and Micro Cap
2353650,Equity ETI by Area - North America
2353661,Equity ETI by Area - North America
2353672,Equity ETI by Sector - Large Mid Small and Micro Cap
2353757,Equity ETI by Area - North America
2353843,Equity ETI by Area - North America
2354028,Equity ETI by Sector - Consumer goods
2354039,Equity ETI by Sector - Banks & Financials
2354200,Equity ETI by Sector - Health
2354266,Equity ETI by Sector - Technology
2354288,Equity ETI by Sector - Basic Materials
2354307,Equity ETI by Sector - Utilities
2355526,Equity ETI by Sector - Consumer goods
2364038,Equity ETI by Sector - Banks & Financials
2369389,Equity ETI by Sector - Consumer goods
2369709,Equity ETI by Sector - Technology
2371812,Equity ETI by Sector - Utilities
2371823,Equity ETI by Sector - Health
2373584,Equity ETI by Area - Europe
2373595,Equity ETI by Area - Europe
2373603,Equity ETI by Area - Europe
2373658,Equity ETI by Area - Asia Pacific
2373669,Equity ETI by Area - Europe
2373681,Equity ETI by Area - North America
2373692,Equity ETI by Area - Europe
2373711,Equity ETI by Area - Europe
2373777,Equity ETI by Area - Asia Pacific
2373818,Equity ETI by Area - Latin & South America
2373829,Equity ETI by Area - Europe
2402466,Equity ETI by Sector - Energy
2424341,Equity ETI by Area - North America
2502139,Equity ETI by Sector - Industrials
2582409,Equity ETI by Area - Emerging Market
2592561,Equity ETI by Area - Asia Pacific
2593025,Equity ETI by Area - North America
2605083,Equity ETI by Sector - Energy
2605179,Equity ETI by Sector - Industrials
2605641,Equity ETI by Area - North America
2605652,Equity ETI by Sector - Property
2605663,Equity ETI by Sector - Banks & Financials
2611637,Equity ETI by Sector - Large Mid Small and Micro Cap
2614227,Equity ETI by Sector - Health
2615082,Equity ETI by Area - North America
2618274,Equity ETI by Sector - Telecoms
2622059,Equity ETI by Area - North America
2630148,Equity ETI by Area - North America
2639792,Equity ETI by Area - Europe
2646145,Equity ETI by Sector - Banks & Financials
2670520,Equity ETI by Area - North America
2670605,Equity ETI by Area - Europe
2678869,Equity ETI by Sector - Large Mid Small and Micro Cap
2679839,Equity ETI by Area - North America
2687003,Equity ETI by Sector - Technology
2689719,Equity ETI by Area - North America
2689720,Equity ETI by Sector - Large Mid Small and Micro Cap
2695705,Equity ETI by Area - North America
2713210,Equity ETI by Area - North America
2713276,Equity ETI by Area - North America
2720953,Equity ETI by Area - North America
2724892,Equity ETI by Sector - Health
2726014,Equity ETI by Area - Latin & South America
2729552,Equity ETI by Area - North America
2741147,Equity ETI by Sector - Consumer goods
2741158,Equity ETI by Sector - Basic Materials
2741170,Equity ETI by Sector - Consumer goods
2741578,Equity ETI by Area - North America
2760142,Equity ETI by Area - World
2760153,Equity ETI by Sector - Technology
2762568,Equity ETI by Area - North America
2771166,Equity ETI by Area - North America
2775975,Equity ETI by Sector - Large Mid Small and Micro Cap
2792037,Equity ETI by Area - World
2792059,Equity ETI by Area - North America
2801290,Equity ETI by Area - World
2810058,Equity ETI by Sector - Utilities
2810069,Equity ETI by Area - North America
2810188,Equity ETI by Area - North America
2810252,Equity ETI by Sector - Technology
2810467,Equity ETI by Sector - Technology
2810478,Equity ETI by Area - North America
2810490,Equity ETI by Area - North America
2812236,Equity ETI by Sector - Large Mid Small and Micro Cap
2812957,Equity ETI by Area - Asia Pacific
2812968,Equity ETI by Area - Japan
2812979,Equity ETI by Sector - Industrials
2812980,Equity ETI by Area - Latin & South America
2819196,Equity ETI by Sector - Telecoms
2819204,Equity ETI by Sector - Technology
2819215,Equity ETI by Sector - Health
2819226,Equity ETI by Sector - Banks & Financials
2819237,Equity ETI by Sector - Energy
2835233,Equity ETI by Area - North America
2840215,Equity ETI by Area - North America
2897404,Bond Money Market & Fixed Interest ETI - North America
2927152,Equity ETI by Area - North America
2971494,Bond Money Market & Fixed Interest ETI - North America
2971502,Bond Money Market & Fixed Interest ETI - North America
2971524,Bond Money Market & Fixed Interest ETI - North America
2971546,Bond Money Market & Fixed Interest ETI - UK
3097407,Equity ETI by Area - Europe
3144206,Bond Money Market & Fixed Interest ETI - Emerging Market
3144206,Bond Money Market & Fixed Interest ETI - Europe
3144206,Bond Money Market & Fixed Interest ETI - North America
3144206,Bond Money Market & Fixed Interest ETI - UK
3144206,Bond Money Market & Fixed Interest ETI - World
3144206,Commodity ETI - Agriculture
3144206,Commodity ETI - Composite
3144206,Commodity ETI - Energy
3144206,Commodity ETI - Gold
3144206,Commodity ETI - Industrial Metals
3144206,Commodity ETI - Livestock
3144206,Commodity ETI - Oil
3144206,Commodity ETI - Precious Metals
3144206,Commodity ETI - Silver
3144206,Commodity ETI - Soft
3144206,Currency ETI - Basket
3144206,Currency ETI - Europe
3144206,Currency ETI - North America
3144206,Currency ETI - Rest of the World
3144206,Currency ETI - UK
3144206,Equity ETI by Area - Africa & Middle East
3144206,Equity ETI by Area - Asia Pacific
3144206,Equity ETI by Area - Developed Mkt
3144206,Equity ETI by Area - Emerging Market
3144206,Equity ETI by Area - Europe
3144206,Equity ETI by Area - FTSE 100
3144206,Equity ETI by Area - FTSE 250
3144206,Equity ETI by Area - Japan
3144206,Equity ETI by Area - Latin & South America
3144206,Equity ETI by Area - North America
3144206,Equity ETI by Area - Other
3144206,Equity ETI by Area - Russia
3144206,Equity ETI by Area - UK
3144206,Equity ETI by Area - World
3144206,Equity ETI by Sector - Banks & Financials
3144206,Equity ETI by Sector - Basic Materials
3144206,Equity ETI by Sector - Consumer goods
3144206,Equity ETI by Sector - Energy
3144206,Equity ETI by Sector - Health
3144206,Equity ETI by Sector - Industrials
3144206,Equity ETI by Sector - Large Mid Small and Micro Cap
3144206,Equity ETI by Sector - Oil & Gas
3144206,Equity ETI by Sector - Property
3144206,Equity ETI by Sector - Technology
3144206,Equity ETI by Sector - Telecoms
3144206,Equity ETI by Sector - Utilities
3144206,Equity ETI by Sector - Volatility Index
3144206,ETI - Other
3144206,Overseas
3252347,Bond Money Market & Fixed Interest ETI - Europe
3289594,Bond Money Market & Fixed Interest ETI - UK
4658450,Equity ETI by Area - Europe
7018910,Equity ETI by Area - Europe
7028704,Equity ETI by Area - Europe
7078055,Equity ETI by Area - Europe
7078066,Equity ETI by Area - Europe
7085044,Equity ETI by Area - Europe
7104604,Equity ETI by Sector - Technology
7131323,Equity ETI by Sector - Banks & Financials
7131419,Equity ETI by Area - Europe
7222744,Equity ETI by Area - North America
7224041,Equity ETI by Area - Europe
7270798,Equity ETI by Sector - Technology
7319420,Equity ETI by Sector - Health
7618398,Equity ETI by Area - Europe
7622689,Bond Money Market & Fixed Interest ETI - Europe
7622719,Bond Money Market & Fixed Interest ETI - Europe
7633216,Equity ETI by Area - World
7722437,Bond Money Market & Fixed Interest ETI - Europe
7735877,Equity ETI by Area - Other
B00D611,Equity ETI by Area - Europe
B00FHZ8,Bond Money Market & Fixed Interest ETI - Emerging Market
B00FHZ8,Bond Money Market & Fixed Interest ETI - Europe
B00FHZ8,Bond Money Market & Fixed Interest ETI - North America
B00FHZ8,Bond Money Market & Fixed Interest ETI - UK
B00FHZ8,Bond Money Market & Fixed Interest ETI - World
B00FHZ8,Commodity ETI - Agriculture
B00FHZ8,Commodity ETI - Composite
B00FHZ8,Commodity ETI - Energy
B00FHZ8,Commodity ETI - Gold
B00FHZ8,Commodity ETI - Industrial Metals
B00FHZ8,Commodity ETI - Livestock
B00FHZ8,Commodity ETI - Oil
B00FHZ8,Commodity ETI - Precious Metals
B00FHZ8,Commodity ETI - Silver
B00FHZ8,Commodity ETI - Soft
B00FHZ8,Currency ETI - Basket
B00FHZ8,Currency ETI - Europe
B00FHZ8,Currency ETI - North America
B00FHZ8,Currency ETI - Rest of the World
B00FHZ8,Currency ETI - UK
B00FHZ8,Equity ETI by Area - Africa & Middle East
B00FHZ8,Equity ETI by Area - Asia Pacific
B00FHZ8,Equity ETI by Area - Developed Mkt
B00FHZ8,Equity ETI by Area - Emerging Market
B00FHZ8,Equity ETI by Area - Europe
B00FHZ8,Equity ETI by Area - FTSE 100
B00FHZ8,Equity ETI by Area - FTSE 250
B00FHZ8,Equity ETI by Area - Japan
B00FHZ8,Equity ETI by Area - Latin & South America
B00FHZ8,Equity ETI by Area - North America
B00FHZ8,Equity ETI by Area - Other
B00FHZ8,Equity ETI by Area - Russia
B00FHZ8,Equity ETI by Area - UK
B00FHZ8,Equity ETI by Area - World
B00FHZ8,Equity ETI by Sector - Banks & Financials
B00FHZ8,Equity ETI by Sector - Basic Materials
B00FHZ8,Equity ETI by Sector - Consumer goods
B00FHZ8,Equity ETI by Sector - Energy
B00FHZ8,Equity ETI by Sector - Health
B00FHZ8,Equity ETI by Sector - Industrials
B00FHZ8,Equity ETI by Sector - Large Mid Small and Micro Cap
B00FHZ8,Equity ETI by Sector - Oil & Gas
B00FHZ8,Equity ETI by Sector - Property
B00FHZ8,Equity ETI by Sector - Technology
B00FHZ8,Equity ETI by Sector - Telecoms
B00FHZ8,Equity ETI by Sector - Utilities
B00FHZ8,Equity ETI by Sector - Volatility Index
B00FHZ8,ETI - Other
B00FHZ8,Overseas
B00FV01,Bond Money Market & Fixed Interest ETI - Emerging Market
B00FV01,Bond Money Market & Fixed Interest ETI - Europe
B00FV01,Bond Money Market & Fixed Interest ETI - North America
B00FV01,Bond Money Market & Fixed Interest ETI - UK
B00FV01,Bond Money Market & Fixed Interest ETI - World
B00FV01,Commodity ETI - Agriculture
B00FV01,Commodity ETI - Composite
B00FV01,Commodity ETI - Energy
B00FV01,Commodity ETI - Gold
B00FV01,Commodity ETI - Industrial Metals
B00FV01,Commodity ETI - Livestock
B00FV01,Commodity ETI - Oil
B00FV01,Commodity ETI - Precious Metals
B00FV01,Commodity ETI - Silver
B00FV01,Commodity ETI - Soft
B00FV01,Currency ETI - Basket
B00FV01,Currency ETI - Europe
B00FV01,Currency ETI - North America
B00FV01,Currency ETI - Rest of the World
B00FV01,Currency ETI - UK
B00FV01,Equity ETI by Area - Africa & Middle East
B00FV01,Equity ETI by Area - Asia Pacific
B00FV01,Equity ETI by Area - Developed Mkt
B00FV01,Equity ETI by Area - Emerging Market
B00FV01,Equity ETI by Area - Europe
B00FV01,Equity ETI by Area - FTSE 100
B00FV01,Equity ETI by Area - FTSE 250
B00FV01,Equity ETI by Area - Japan
B00FV01,Equity ETI by Area - Latin & South America
B00FV01,Equity ETI by Area - North America
B00FV01,Equity ETI by Area - Other
B00FV01,Equity ETI by Area - Russia
B00FV01,Equity ETI by Area - UK
B00FV01,Equity ETI by Area - World
B00FV01,Equity ETI by Sector - Banks & Financials
B00FV01,Equity ETI by Sector - Basic Materials
B00FV01,Equity ETI by Sector - Consumer goods
B00FV01,Equity ETI by Sector - Energy
B00FV01,Equity ETI by Sector - Health
B00FV01,Equity ETI by Sector - Industrials
